hpstring nativeEnergy catPattern 
HPPHPPHH 3 N
HPHPHPPHPPHH 5 N
HPHPHPHHPPHH 5 N
HHPPHPPH 3 N
HPPHHPPHP 3 N
HHPPHPHPHPPH 5 N
HHHPHPHPHPPH 5 N
HPHPPHPHPHPH 5 N
HHHPPHPHPHPH 5 N
HPHHPHPHPHPH 5 N
HHHHPHPHPHPH 5 N
PHHPPHPPHPH 4 N
HHHPPHPPHPH 4 N
PHHPPHHPHPH 4 N
HHHPPHHPHPH 4 N
HPPHPPHPPHP 4 N
HHPHPPHPPHP 4 N
HPPHHPHPPHP 4 N
HPPHPPHPHHP 4 N
HPPHHPHPHHP 4 N
HPPHPPHPPHH 4 N
HPPHPPHPHHH 4 N
PHPPHPPHH 3 N
PHPPHPHHH 3 HHH
PHPPPPHPPHH 3 N
PHPPPPHPHHH 3 HHH
HHPPHPPPPHP 3 N
HHHPHPPPPHP 3 HHH
HPPHHPPHPHPH 5 N
HPPHHHPHPHPH 5 N
HPHPPHHPPHP 4 N
HPHPPHHPPHH 4 N
HPHPPHPPHPPH 5 N
HHHPPHPPHPPH 5 N
HPHPHHPPHPPH 5 N
HPHPPHPPHPHH 5 N
HPHPHPPHPHP 4 N
HPHPHPHHPHP 4 N
HPHPHPPHHHP 4 N
HPHPHPHHHHP 4 N
HPHPHPPHPHH 4 N
HPHPHPHHPHH 4 N
HPHPHPPHHHH 4 N
HPHPHPHHHHH 4 N
HPPHPHPPHPPH 5 N
HHPHPHPPHPPH 5 N
HPPHPHPHHPPH 5 N
PHPPHHPPHPHP 4 N
HHPPHHPPHPHP 4 N
HPHPPH 2 N
HHHPPH 2 N
HPHPHH 2 HHH
PHPPHHPPHPH 4 N
HHPPHHPPHPH 4 N
HPPHPPHPPH 4 N
HHPHPPHPPH 4 HHH
HPPHPPHPHH 4 HHH
HPPHPPPPPHH 3 N
HPPHPHPPPHH 4 N
HPPHPPPHPHH 4 N
HPPHPHPHPHH 5 N
HPPHPHPHPPHH 5 N
HPPHPHPHPHHH 5 N
HHPPHPPHP 3 N
HHHPHPPHP 3 HHH
HHPPPHHPPPHH 4 N
HHPHPHHPPPHH 5 N
HHPPPHHPHPHH 5 N
HHPHPHHPHPHH 6 N
PHPHPPHPHPH 4 N
HHPHPPHPHPH 4 N
PHHHPPHPHPH 4 N
HHHHPPHPHPH 4 N
PHPHHPHPHPH 4 N
HHPHHPHPHPH 4 N
PHHHHPHPHPH 4 N
HHHHHPHPHPH 4 N
HPPHPPHPHPPH 5 N
HPPHHPHPHPPH 5 N
HPPHPPHPHPHH 5 N
HPHPPHP 2 N
HHHPPHP 2 N
HPHPHHP 2 N
HPHPPHH 2 N
HPHPHHH 2 N
HPHPPHPPHHP 4 N
HPHPHHPPHHP 4 N
HPHPPHPPHHH 4 N
HPHPHHPPHHH 4 N
PHPHPPHHPPHP 4 N
PHPHPPHHPPHH 4 N
PHPPHHPPH 3 N
PHPPHHPPHP 3 N
HPPHPPHPPHPH 5 N
HHPHPPHPPHPH 5 N
HPPHPPHHPHPH 5 N
HPPHPPHPPHHH 5 N
PHPPHPPPPPHH 3 N
PHPPHPHPPPHH 4 N
PHPPHPPPHPHH 4 N
PHPPHPHPHPHH 5 N
PHHPHPHPHPHH 5 N
HPPHPPPPHPPH 4 N
HHPHPPPPHPPH 4 HHH
HPPHPPPPHPHH 4 HHH
HHHPPPHHPPPH 4 N
HHHPHPHHPPPH 5 N
HHHHHPHHPPPH 5 HHH
HHHPPPHHPHPH 5 N
HHHPHPHHPHPH 6 N
HHHHHPHHPHPH 6 HHH
HPHPPHPPHH 4 HHH
HPHPPPPHPPHH 4 HHH
HHPPHPHPPHP 4 N
HHHPHPHPPHP 4 N
HHPPHPHPHHP 4 N
HHHPHPHPHHP 4 N
HPPHPHPH 3 N
HHPHPHPH 3 N
HPHHPPPHHHHH 5 HHH
HPHHPHPHHHHH 6 HHH
HPHHPHHHHHHH 6 HHHH
HHPPPPPHPPHP 3 N
HHPHPPPHPPHP 4 N
HHPPPHPHPPHP 4 N
HHPHPHPHPPHP 5 N
HHPHPHPHPHHP 5 N
PHPPHPPHPPHP 4 N
HHPPHPPHPPHP 4 N
PHHPHPPHPPHP 4 N
HHHPHPPHPPHP 4 N
PHPPHHPHPPHP 4 N
PHPPHPHHPPHP 4 N
PHHPHPHHPPHP 4 N
PHPPHPPHPHHP 4 N
PHPPHHPHPHHP 4 N
PHPPHPPHPPHH 4 N
HHPPHPPHPPHH 5 N
PHPPHPPHPHHH 4 N
